Id,Price
4567,163050.60265335205
5925,125439.04317500434
960,140281.81024407933
3848,171420.4165764113
746,170424.44547873194
868,384000.99037611694
672,120880.47043798992
2471,201308.51963546433
4510,124324.12343572665
8354,233910.8039644584
6393,177712.98332606265
13270,231157.232873255
5250,256883.4400391423
16751,169303.31226574283
11404,129377.48370337585
10588,338451.98423264874
14925,191789.38646295705
6791,241754.72358419298
16097,221066.63029824308
16428,361640.15160276927
6945,346358.8606995286
3190,188549.71877483968
15709,469428.6605513692
13155,179315.86259710658
7675,203025.3605571928
14686,220752.7455053079
609,170532.01265946976
11155,131199.9058189231
10869,209987.5938523639
15742,181177.59597449208
9245,185619.3717445686
3340,185125.44037656742
2359,275398.97135733906
8070,215865.53883091046
13707,130236.97961276345
16079,252578.45912997355
15937,237042.29749197766
14090,181484.53969325862
9008,219271.8537630527
16384,186006.34123412173
11657,251320.0831849223
13151,152029.58311327052
8990,193778.4271102165
11857,189671.60938617552
1565,161239.3085206582
8174,121625.31550452279
9247,237394.99773529527
10478,222395.27921746456
15509,149573.40502682867
8306,199315.6950024493
6642,188693.67712493346
7472,203645.41684725933
15989,136595.00536478238
13682,130716.23858333477
163,302959.6655907628
7076,172346.80020132993
7478,335684.7196879673
3029,196557.43319131088
1814,149016.27090304001
10057,149714.47163232087
15100,195544.01001095452
12694,238202.75493436982
6291,179132.71451191502
12603,191040.23697013632
3218,249956.87269917454
13456,132306.35569770687
10170,241832.3292608643
4530,142151.66049068212
13329,164797.5449365555
4820,142491.40713225328
10896,161971.1562338173
13416,114874.00781080844
2701,220829.30115331133
11265,311996.6588937705
9189,276147.5109886669
1858,186699.62270444835
14536,241215.0548707919
6199,262739.8360458312
14730,156264.63431853426
7510,269847.1340974661
15505,161605.65341723905
7446,188330.83424866834
14016,185730.68272776707
14113,108042.9778387329
8721,300433.83560547227
6193,296251.64248875657
5717,176959.82587700456
5427,289155.3101774963
9520,572733.0102166007
6869,102928.39796841379
1658,150057.3066892529
6639,215378.36973615407
6283,185815.2021162566
6257,125024.14823288588
15235,189436.37817763945
902,212025.65918124787
8932,201017.87883586946
16469,337309.0758193603
2825,251981.3305114691
6450,450600.97163186106
11366,180154.2352951396
3801,336513.7475842855
11385,227358.68696780794
